county,tract,land_value
24031,700101,152600
24031,700103,215600
24031,700104,1015000
24031,700105,1163300
24031,700204,177200
24031,700205,497200
24031,700206,263200
24031,700207,537700
24031,700208,219900
24031,700304,724700
24031,700306,1311400
24031,700308,1406600
24031,700309,1768800
24031,700310,1107900
24031,700311,565300
24031,700312,439900
24031,700400,168500
24031,700500,361100
24031,700604,278500
24031,700606,1040100
24031,700607,1398700
24031,700608,439900
24031,700610,608700
24031,700611,825600
24031,700613,781800
24031,700614,1769000
24031,700615,643700
24031,700616,968300
24031,700704,600700
24031,700706,1554900
24031,700710,611200
24031,700711,736800
24031,700713,637800
24031,700715,928800
24031,700716,936700
24031,700717,711200
24031,700718,3158800
24031,700719,418100
24031,700720,910400
24031,700722,1540500
24031,700810,810000
24031,700811,1816000
24031,700812,902100
24031,700813,1255000
24031,700815,1747200
24031,700816,2150600
24031,700817,5330800
24031,700818,2798100
24031,700819,1482200
24031,700820,868300
24031,700823,1240500
24031,700824,2965300
24031,700826,3517900
24031,700828,1167600
24031,700829,3189100
24031,700830,544300
24031,700832,846900
24031,700833,938000
24031,700834,1746200
24031,700835,728700
24031,700901,1849900
24031,700902,1098300
24031,700903,1110600
24031,700905,1930700
24031,701001,1733000
24031,701002,1582600
24031,701004,1385300
24031,701005,1436100
24031,701006,1536400
24031,701007,3386000
24031,701101,1060700
24031,701102,1069000
24031,701201,1179900
24031,701202,1667400
24031,701205,1254000
24031,701206,1523400
24031,701210,1374100
24031,701211,1646300
24031,701212,402300
24031,701213,1509100
24031,701214,1164800
24031,701215,4146300
24031,701220,710700
24031,701221,1537700
24031,701303,739700
24031,701304,664700
24031,701306,522300
24031,701307,412100
24031,701308,337700
24031,701312,749500
24031,701313,814400
24031,701314,1276700
24031,701315,1675700
24031,701316,370000
24031,701317,367100
24031,701407,522800
24031,701408,341600
24031,701409,397900
24031,701410,1146400
24031,701414,662900
24031,701415,552500
24031,701417,1161200
24031,701418,1410400
24031,701420,838100
24031,701423,2029000
24031,701503,659300
24031,701505,696800
24031,701506,462000
24031,701507,456900
24031,701508,2119500
24031,701509,542100
24031,701602,867800
24031,701701,1788900
24031,701702,1294000
24031,701703,1695500
24031,701704,1444700
24031,701800,1609400
24031,701900,1527900
24031,702000,1201600
24031,702101,1079200
24031,702102,1342000
24031,702200,1505800
24031,702301,1474700
24031,702302,1485500
24031,702401,1813200
24031,702402,1975400
24031,702500,3810300
24031,702700,2034900
24031,702800,1709100
24031,702900,1535800
24031,703000,1364100
24031,703100,1229200
24031,703201,780500
24031,703202,763700
24031,703206,579400
24031,703207,607200
24031,703208,677300
24031,703209,931700
24031,703210,1170300
24031,703212,817700
24031,703214,684500
24031,703215,561600
24031,703220,956900
24031,703221,494900
24031,703301,1000600
24031,703302,948000
24031,703401,980300
24031,703402,973400
24031,703403,952300
24031,703404,1011300
24031,703501,948300
24031,703502,1346600
24031,703601,1129500
24031,703602,1333800
24031,703701,1089900
24031,703702,987300
24031,703800,1866200
24031,703901,1511900
24031,703902,1283100
24031,704000,1389400
24031,704100,1406700
24031,704200,1714600
24031,704300,2180000
24031,704401,2406200
24031,704404,2541000
24031,704501,2192000
24031,704502,1601900
24031,704503,2758700
24031,704600,2919800
24031,704700,3257900
24031,705000,3670300
24031,705100,2413400
24031,705200,2640100
24031,705300,3971700
24031,705400,3832500
24031,705502,3542300
24031,705601,3673300
24031,705602,3523800
24031,705701,3019900
24031,705702,3092200
24031,705800,2009200
24031,705901,1570800
24031,705902,1717400
24031,705903,2368400
24031,706005,843600
24031,706007,920100
24031,706008,832500
24031,706009,1137900
24031,706010,2276700
24031,706011,1447400
24031,706012,4709800
24031,706013,1042500
24033,800102,470300
24033,800103,456000
24033,800105,558500
24033,800106,796100
24033,800108,1056400
24033,800109,687900
24033,800203,321100
24033,800206,500100
24033,800208,434600
24033,800210,341500
24033,800211,599500
24033,800212,593900
24033,800213,767100
24033,800215,570000
24033,800401,388200
24033,800402,440600
24033,800403,361300
24033,800408,271900
24033,800409,347200
24033,800410,328400
24033,800411,203400
24033,800412,378800
24033,800413,809100
24033,800504,330800
24033,800505,377200
24033,800507,148300
24033,800509,398700
24033,800511,432900
24033,800513,379900
24033,800514,340400
24033,800515,620800
24033,800516,670800
24033,800517,281700
24033,800518,168700
24033,800519,399900
24033,800520,2167800
24033,800601,273700
24033,800604,336600
24033,800605,289300
24033,800606,1101000
24033,800607,238200
24033,800608,455500
24033,800701,307000
24033,800704,507300
24033,800705,247000
24033,800706,284100
24033,800707,180300
24033,800800,76300
24033,800900,80200
24033,801003,225500
24033,801004,163800
24033,801005,276500
24033,801006,345600
24033,801207,226200
24033,801208,358600
24033,801209,450700
24033,801210,287800
24033,801211,323000
24033,801212,281800
24033,801213,214300
24033,801214,242100
24033,801215,217200
24033,801216,257200
24033,801217,272000
24033,801302,118500
24033,801305,209700
24033,801307,217800
24033,801308,315200
24033,801309,259000
24033,801310,202900
24033,801311,222400
24033,801312,198300
24033,801313,254800
24033,801404,312600
24033,801405,365500
24033,801407,281700
24033,801408,508000
24033,801409,272000
24033,801410,264800
24033,801411,308300
24033,801500,413200
24033,801600,767600
24033,801701,272000
24033,801702,400400
24033,801704,347400
24033,801707,374300
24033,801708,290800
24033,801802,788100
24033,801804,386300
24033,801805,586800
24033,801807,534800
24033,801808,444500
24033,801901,241300
24033,801904,218600
24033,801905,353700
24033,801906,245800
24033,801908,439300
24033,802001,414800
24033,802002,550900
24033,802103,429700
24033,802104,323200
24033,802106,416500
24033,802107,1059900
24033,802201,376200
24033,802203,282700
24033,802204,430700
24033,802301,395700
24033,802404,865200
24033,802405,355100
24033,802407,455300
24033,802408,541300
24033,802501,463000
24033,802502,458500
24033,802600,473900
24033,802700,433500
24033,802803,438000
24033,802804,413800
24033,802805,453000
24033,802901,408200
24033,803001,367200
24033,803002,543100
24033,803100,398700
24033,803200,644500
24033,803300,570100
24033,803401,589300
24033,803402,709700
24033,803508,453900
24033,803512,286900
24033,803513,642200
24033,803514,1121000
24033,803516,483700
24033,803519,535700
24033,803520,235100
24033,803521,466500
24033,803522,757600
24033,803523,346000
24033,803524,609800
24033,803526,598100
24033,803527,818400
24033,803601,408100
24033,803602,439800
24033,803605,402700
24033,803606,337600
24033,803607,271800
24033,803608,361400
24033,803610,384400
24033,803612,603300
24033,803613,411400
24033,803700,436400
24033,803801,451000
24033,803803,481500
24033,803900,475300
24033,804002,487900
24033,804101,527400
24033,804102,493400
24033,804200,546600
24033,804300,566700
24033,804400,625300
24033,804600,591900
24033,804700,699000
24033,804900,607300
24033,805000,628400
24033,805101,740800
24033,805201,695200
24033,805202,575400
24033,805500,580000
24033,805700,656200
24033,805801,721100
24033,805802,585800
24033,805904,379800
24033,805909,569600
24033,806000,753200
24033,806100,695500
24033,806200,622300
24033,806300,938100
24033,806400,728500
24033,806501,556700
24033,806601,556300
24033,806602,508700
24033,806706,540000
24033,806710,1271500
24033,806711,579500
24033,806714,2751600
24033,806800,500600
24033,806900,748900
24033,807000,582300
24033,807102,824200
24033,807200,805900
24033,807301,603900
24033,807304,417000
24033,807305,398600
24033,807404,484300
24033,807405,318900
24033,807407,493400
24033,807408,380300
24033,807409,366500
24033,807410,726900
